Team,Date,Score,Score adjusted,Score with region multiplier
G2 Esports,2/18/2024 17:48,42.40068761,72.44349804,111707.874
paiN Gaming,2/18/2024 18:05,27.67395983,57.71677026,36592.43234
MAD Lions KOI,2/18/2024 18:47,-5.742878524,24.29993191,37470.495
G2 Esports,2/18/2024 18:47,19.51578432,49.55859475,76419.3531
LNG Esports,2/20/2024 9:20,14.76995019,44.81276062,81828.10089
LNG Esports,2/20/2024 10:27,-10.45154814,19.59126229,35773.64494
LNG Esports,2/20/2024 11:17,-9.594704006,20.44810642,37338.24233
Bilibili Gaming,2/20/2024 11:24,-10.59904217,19.44376826,35504.32084
Bilibili Gaming,2/20/2024 12:09,-17.71434372,12.32846671,22511.78021
Movistar R7,2/20/2024 22:07,25.63261617,55.6754266,32458.77371
Movistar R7,2/20/2024 22:57,29.25220526,59.29501569,34568.99415
T1,2/21/2024 8:07,19.905751,49.94856143,93553.65556
T1,2/21/2024 8:58,-20.81064109,9.23216934,17291.85317
Weibo Gaming,2/21/2024 9:18,20.90005243,50.94286286,93021.66758
T1,2/21/2024 10:01,20.97605762,51.01886805,95558.33986
Weibo Gaming,2/21/2024 10:16,26.84512269,56.88793312,103877.3659
Hanwha Life Esports,2/21/2024 11:36,26.25915354,56.30196397,105453.5785
Top Esports,2/21/2024 11:42,11.13630702,41.17911745,75193.06846
Top Esports,2/21/2024 12:39,23.89481978,53.93763021,98490.11276
Hanwha Life Esports,2/21/2024 12:54,15.62549754,45.66830797,85536.74083
Movistar R7,2/21/2024 23:55,29.42998807,59.4727985,34672.64153
Movistar R7,2/22/2024 0:42,26.66522437,56.7080348,33060.78429
Dplus KIA,2/22/2024 8:06,25.73049809,55.77330852,104463.4069
Dplus KIA,2/22/2024 9:03,29.88444344,59.92725387,112243.7465
Vikings Esports,2/22/2024 10:06,6.088289671,36.1311001,30313.99298
Gen.G,2/22/2024 10:35,20.12460396,50.16741439,93963.56715
Vikings Esports,2/22/2024 10:57,27.25243642,57.29524685,48070.71211
Gen.G,2/22/2024 11:24,26.30921265,56.35202308,105547.3392
GAM Esports,2/23/2024 10:11,7.530470037,37.57328047,31523.98231
GAM Esports,2/23/2024 11:09,-14.20642307,15.83638736,13286.729
