Team,Date,Result,Laner,Top score,Laner,Jng score,Laner,Mid score,Laner,Bot score,Laner,Sup score,Sum Score
paiN Gaming,1/20/2024 20:46,0,Wizer,-0.913924012,CarioK,-4.382186075,dyNquedo,-0.217117396,TitaN,-2.949495392,Kuri,-3.006183271,-11.46890615
FlyQuest,1/20/2024 22:30,1,Bwipo,0.266841192,Inspired,2.67211914,Jensen,2.26992493,Massu,0.916488332,Busio,2.249125085,8.374498679
Hanwha Life Esports,1/21/2024 6:09,1,Doran,4.084205832,Peanut,1.918124472,Zeka,0.829906584,Viper,3.223187162,Delight,4.884565684,14.93998973
Hanwha Life Esports,1/21/2024 7:08,1,Doran,4.295709515,Peanut,3.643048683,Zeka,0.4484873,Viper,3.474463272,Delight,3.683860784,15.54556955
Dplus KIA,1/21/2024 8:48,1,Kingen,3.504916861,Lucid,2.450845271,ShowMaker,3.510791418,Aiming,2.603658002,Kellin,3.327066046,15.3972776
Dplus KIA,1/21/2024 9:35,0,Kingen,6.562941075,Lucid,-1.258233269,ShowMaker,2.583259265,Aiming,-2.088347668,Kellin,1.931316811,7.730936214
Dplus KIA,1/21/2024 10:46,0,Kingen,-1.921438231,Lucid,-2.151756648,ShowMaker,-0.63183911,Aiming,-2.146271414,Kellin,-1.279031263,-8.130336665
GAM Esports,1/21/2024 12:20,1,Kiaya,5.636241876,Levi,6.378593697,Blazes,1.029734285,Pyshiro,6.529236504,Elio,7.932989644,27.50679601
GAM Esports,1/21/2024 13:16,1,Kiaya,1.881682203,Levi,4.938856128,Blazes,3.524741957,Pyshiro,3.250523332,Elio,4.607698314,18.20350194
Fukuoka SoftBank HAWKS gaming,1/21/2024 13:22,1,Evi,3.652061521,Forest,3.148139653,DasheR,6.736122292,Marble,5.076290154,Vsta,3.390920543,22.00353416
Fukuoka SoftBank HAWKS gaming,1/21/2024 14:11,1,Evi,8.960666654,Forest,4.915717018,DasheR,3.950999298,Marble,4.224588465,Vsta,5.226749347,27.27872078
MAD Lions KOI,1/21/2024 16:06,0,Myrwn,-1.906549405,Elyoya,-6.51376182,Fresskowy,-6.11144562,Supa,-5.483076687,Alvaro,-3.875709402,-23.89054293
Fnatic,1/21/2024 17:03,1,Oscarinin,0.247414562,Razork,2.390722955,Humanoid,3.545530062,Noah,3.947866911,Jun,0.985965232,11.11749972
G2 Esports,1/21/2024 17:59,1,BrokenBlade,3.668013178,Yike,7.223330826,Caps,1.521346448,Hans Sama,4.542045413,Mikyx,1.090152635,18.0448885
Team Liquid,1/21/2024 20:12,1,Impact,2.424468195,UmTi,2.543769233,APA,2.407703049,Yeon,3.750998901,CoreJJ,4.127614776,15.25455415
paiN Gaming,1/21/2024 20:19,1,Wizer,10.6523359,CarioK,4.299945308,dyNquedo,8.592887895,TitaN,1.904749664,Kuri,8.962715108,34.41263387
100 Thieves,1/21/2024 21:06,0,Sniper,0.244502063,River,-6.186224019,Quid,-1.850386935,Meech,-4.733778929,Eyla,-2.800690565,-15.32657838
FlyQuest,1/21/2024 21:58,1,Bwipo,4.241598201,Inspired,3.549126419,Jensen,2.959734113,Massu,3.235166505,Busio,2.673651253,16.65927649
Bilibili Gaming,1/22/2024 9:24,1,Bin,5.086610666,Xun,7.490770327,knight,3.400175111,Elk,1.199146344,ON,4.510972883,21.68767533
Top Esports,1/22/2024 9:24,0,369,-0.842819608,Tian,-6.383688345,Creme,-4.12341408,JackeyLove,-2.93339829,Meiko,-3.22033795,-17.50365827
Top Esports,1/22/2024 10:14,1,369,2.529563363,Tian,6.065394214,Creme,2.530157768,JackeyLove,2.046721773,Meiko,2.88688268,16.0587198
Bilibili Gaming,1/22/2024 10:14,0,Bin,-0.847826805,Xun,-4.714966498,knight,-2.608084633,Elk,-4.30545377,ON,-2.886350026,-15.36268173
Bilibili Gaming,1/22/2024 11:06,1,Bin,6.43130545,Xun,6.164722444,knight,2.88482007,Elk,-0.016113111,ON,5.705263638,21.16999849
Top Esports,1/22/2024 11:06,0,369,-4.010062695,Tian,-4.625393554,Creme,-2.458895768,JackeyLove,-4.264392629,Meiko,-1.323209175,-16.68195382
Fnatic,1/22/2024 17:00,1,Oscarinin,1.996598836,Razork,2.897423036,Humanoid,1.612383675,Noah,0.965011275,Jun,2.446455732,9.917872555
MAD Lions KOI,1/22/2024 17:53,1,Myrwn,7.853345284,Elyoya,5.877550278,Fresskowy,4.007644702,Supa,6.78737382,Alvaro,2.76503764,27.29095172
G2 Esports,1/22/2024 18:45,0,BrokenBlade,-2.994007017,Yike,-5.569344829,Caps,-3.227383152,Hans Sama,-1.704657076,Mikyx,-3.445347087,-16.94073916
Movistar R7,1/23/2024 22:07,1,Summit,1.861802637,Oddie,2.235191682,Lava,1.666666128,Ceo,1.969005792,Lyonz,3.088726646,10.82139288
Movistar R7,1/23/2024 23:00,1,Summit,0.633042036,Oddie,3.969967001,Lava,1.861066069,Ceo,0.816547679,Lyonz,3.644767266,10.92539005
Hanwha Life Esports,1/24/2024 8:06,1,Doran,6.589397895,Peanut,2.08014216,Zeka,2.518547084,Viper,2.61442762,Delight,4.971805526,18.77432029
Hanwha Life Esports,1/24/2024 9:00,1,Doran,4.735086682,Peanut,5.381932978,Zeka,5.707300127,Viper,4.930260523,Delight,8.235241487,28.9898218
Dplus KIA,1/25/2024 8:07,1,Kingen,2.856320717,Lucid,5.248880403,ShowMaker,3.129659769,Aiming,2.654922314,Kellin,4.6266055,18.5163887
Dplus KIA,1/25/2024 8:53,1,Kingen,6.063577032,Lucid,6.082342884,ShowMaker,5.191780858,Aiming,1.810503797,Kellin,6.796789759,25.94499433
PSG Talon,1/25/2024 9:13,1,Azhi,3.111098217,JunJia,4.224175207,Maple,2.965263475,Betty,0.281631449,Woody,3.017743562,13.59991191
Weibo Gaming,1/25/2024 9:18,1,Zdz,-2.507838412,Xiaohao,-0.204203461,Xiaohu,1.931247463,Light,-1.670325273,Crisp,4.197766396,1.746646714
