league,date,game,position,playername,teamname,champion,gamelength,result,kills,deaths,assists,kda,killparticipation,firstbloodkill,firstbloodassist,firstbloodvictim,dpm,damageshare,damagetakenperminute,wpm,wcpm,vspm,earnedgoldshare,cspm
LEC,1/27/2024 19:09,1,bot,Hans Sama,G2 Esports,Kalista,1580,1,3,3,6,3,0.9,1,0,0,426.4177,0.178769,397.9367,0.4177,0.6076,1.557,0.243847,9.8734
LCS,1/27/2024 22:29,1,bot,Massu,FlyQuest,Ezreal,2117,1,4,0,3,7,0.583333333,1,0,0,985.196,0.372992,578.3751,0.3684,0.3968,1.1904,0.263715,10.1181
LCS,1/27/2024 22:29,1,bot,Yeon,Team Liquid,Lucian,2117,0,0,3,2,0.666666667,0.666666667,0,0,1,758.2333,0.32455,716.7123,0.3968,0.4535,1.3604,0.236767,9.778
LPL,1/28/2024 7:19,1,bot,Light,Weibo Gaming,Aphelios,2880,1,8,2,5,6.5,0.8125,0,,,926.9375,0.398258,226.3125,0.3958,0.5625,1.4583,0.331359,9.9583
LPL,1/28/2024 8:28,2,bot,Light,Weibo Gaming,Lucian,2048,1,5,4,4,2.25,0.391304348,0,,,731.5723,0.299633,599.3262,1.1133,0.4688,2.6953,0.223182,8.6719
CBLOL,2/18/2024 18:05,1,bot,TitaN,paiN Gaming,Xayah,1892,1,11,2,6,8.5,0.739130435,0,0,0,1089.6089,0.363857,439.7886,0.5391,0.3171,1.4588,0.298512,10.7505
LCK,1/28/2024 9:43,1,bot,Gumayusi,T1,Kalista,2173,1,3,1,5,8,0.533333333,0,1,0,400.0368,0.159735,484.9149,0.5798,0.2209,1.4082,0.241105,9.885
LJL,1/28/2024 10:07,1,bot,Marble,Fukuoka SoftBank HAWKS gaming,Aphelios,1861,1,5,2,2,3.5,0.466666667,0,0,0,647.0392,0.262659,262.3428,0.4191,0.5803,1.3219,0.246355,9.6722
CBLOL,2/24/2024 16:15,1,bot,TitaN,paiN Gaming,Smolder,2260,0,9,3,2,3.666666667,1,0,0,0,919.4336,0.427519,319.1681,0.6372,0.3451,1.6726,0.340043,10.9115
LCK,1/28/2024 10:40,2,bot,Gumayusi,T1,Varus,1689,1,2,0,8,10,0.555555556,0,0,0,643.6234,0.254735,261.9893,0.6039,0.1776,1.5275,0.224329,9.3428
LJL,1/28/2024 10:59,2,bot,Marble,Fukuoka SoftBank HAWKS gaming,Xayah,1903,1,1,0,6,7,0.583333333,0,1,0,449.2906,0.212985,243.815,0.4729,0.4099,1.072,0.259388,10.31
LPL,1/28/2024 11:19,1,bot,GALA,LNG Esports,Xayah,1745,1,1,0,13,14,0.823529412,0,1,,436.6074,0.20467,335.7593,0.3438,0.447,1.1003,0.222302,10.1433
VCS,1/28/2024 12:13,1,bot,Shogun,Vikings Esports,Kai'Sa,1525,1,6,2,12,9,0.818181818,0,1,0,673.8885,0.220126,459.423,0.6295,0.3541,1.1803,0.243039,9.3639
LPL,1/28/2024 12:15,2,bot,GALA,LNG Esports,Xayah,2262,1,2,1,7,9,0.5625,0,,,618.1963,0.274218,566.7109,0.2387,0.3714,0.9814,0.240006,10.3714
VCS,1/28/2024 12:57,2,bot,Shogun,Vikings Esports,Varus,1672,1,6,1,8,14,0.666666667,0,0,0,776.555,0.303805,383.3612,0.5024,0.7895,2.1531,0.254264,10.8373
CBLOL,2/25/2024 19:54,1,bot,TitaN,paiN Gaming,Kalista,2545,1,6,3,7,4.333333333,0.8125,0,0,0,558.389,0.257057,479.835,0.5187,0.4951,1.2967,0.290081,9.9725
LEC,1/28/2024 18:28,1,bot,Noah,Fnatic,Lucian,2380,0,8,6,7,2.5,0.714285714,0,0,1,887.4202,0.298957,624.4538,0.4034,0.4538,1.2857,0.256715,8.3445
LEC,1/28/2024 18:28,1,bot,Hans Sama,G2 Esports,Varus,2380,1,10,3,12,7.333333333,0.75862069,0,1,0,1067.8487,0.320309,403.437,0.6555,0.1513,1.2353,0.255271,8.3193
LEC,1/28/2024 19:30,1,bot,Supa,MAD Lions KOI,Kai'Sa,1913,0,2,5,2,0.8,0.4,0,0,0,378.1913,0.225089,553.7376,0.3136,0.3136,1.0978,0.236994,7.6529
