league,date,game,position,playername,teamname,champion,gamelength,result,kills,deaths,assists,kda,killparticipation,firstbloodkill,firstbloodassist,firstbloodvictim,dpm,damageshare,damagetakenperminute,wpm,wcpm,vspm,earnedgoldshare,cspm
LCS,1/27/2024 22:29,1,sup,CoreJJ,Team Liquid,Nami,2117,0,0,1,2,2,0.666666667,0,0,0,309.4379,0.13245,300.6802,1.5305,0.6235,3.5994,0.0899888,1.1904
LPL,1/28/2024 7:19,1,sup,Crisp,Weibo Gaming,Milio,2880,1,2,2,13,7.5,0.9375,0,,,88.25,0.0379179,281.1042,1.875,0.3125,3.4583,0.122738,0.8542
LPL,1/28/2024 8:28,2,sup,Crisp,Weibo Gaming,Nami,2048,1,2,0,15,17,0.739130435,0,,,206.6309,0.0846292,245.0977,1.6699,0.293,3.2227,0.126266,1.9922
LCK,1/28/2024 9:43,1,sup,Delight,Hanwha Life Esports,Rakan,2173,0,0,3,9,3,0.9,0,0,0,102.798,0.0513404,412.3516,2.0433,0.6627,3.7828,0.102957,1.5462
LCK,1/28/2024 9:43,1,sup,Keria,T1,Ashe,2173,1,0,2,10,5,0.666666667,0,1,0,530.971,0.212018,331.8086,2.7612,0.8283,5.3014,0.109231,1.7119
VCS,1/28/2024 10:06,1,sup,Elio,GAM Esports,Milio,2021,1,1,2,11,6,0.923076923,0,0,0,142.0881,0.0565253,402.8996,1.811,0.3266,3.2954,0.103844,0.95
LJL,1/28/2024 10:07,1,sup,Vsta,Fukuoka SoftBank HAWKS gaming,Milio,1861,1,2,0,13,15,1,0,0,0,179.0973,0.0727028,353.842,1.4508,0.5481,2.8372,0.12599,0.935
LCK,1/28/2024 10:40,2,sup,Delight,Hanwha Life Esports,Milio,1689,0,0,2,7,3.5,0.777777778,0,0,0,132.1137,0.0780679,340.7815,1.492,0.2487,2.6643,0.0889736,0.8881
LCK,1/28/2024 10:40,2,sup,Keria,T1,Pyke,1689,1,5,3,3,2.666666667,0.444444444,0,0,0,303.73,0.120211,465.6128,2.4512,0.5329,4.1208,0.129193,1.5986
LJL,1/28/2024 10:59,2,sup,Vsta,Fukuoka SoftBank HAWKS gaming,Rakan,1903,1,3,0,7,10,0.833333333,1,0,0,172.6852,0.0818611,443.5838,2.6169,0.6936,4.2564,0.121385,1.3242
VCS,1/28/2024 11:02,2,sup,Elio,GAM Esports,Milio,2411,1,0,3,16,5.333333333,1,0,0,0,142.6462,0.0562921,321.825,2.0406,0.1991,3.2103,0.0968746,0.7715
LPL,1/28/2024 11:19,1,sup,Mark,LNG Esports,Rakan,1745,1,2,0,15,17,1,1,,,149.8109,0.0702285,265.4785,2.9226,0.9284,5.7421,0.12161,1.7536
VCS,1/28/2024 12:13,1,sup,Kairi,Vikings Esports,Rakan,1525,1,1,2,16,8.5,0.772727273,0,1,0,214.741,0.0701452,398.6754,2.6754,0.9049,4.682,0.100013,1.4951
LPL,1/28/2024 12:15,2,sup,Mark,LNG Esports,Rakan,2262,1,2,1,10,12,0.75,0,,,115.252,0.0511297,455.809,2.9973,0.6366,5.3581,0.106863,1.0345
VCS,1/28/2024 12:57,2,sup,Kairi,Vikings Esports,Nautilus,1672,1,0,2,10,5,0.476190476,0,0,0,180.0718,0.0704478,589.988,1.6866,0.5024,3.2656,0.0845666,1.1842
CBLOL,1/28/2024 18:18,1,sup,Kuri,paiN Gaming,Rell,2276,0,2,3,13,5,1,0,1,0,220.4657,0.0899073,490.9666,2.2144,0.3163,3.8225,0.107762,0.8699
LEC,1/28/2024 18:28,1,sup,Jun,Fnatic,Milio,2380,0,2,5,13,3,0.714285714,0,0,0,98.7227,0.033258,539.7983,1.9916,0.5042,3.9328,0.102148,0.8571
LEC,1/28/2024 18:28,1,sup,Mikyx,G2 Esports,Nautilus,2380,1,0,9,14,1.555555556,0.482758621,0,1,0,142.7899,0.0428309,646.6891,1.8908,0.5042,3.7059,0.0922346,1.0084
LEC,1/28/2024 19:30,1,sup,Alvaro,MAD Lions KOI,Rakan,1913,0,0,3,6,2,0.6,0,0,0,140.7005,0.0837409,471.908,1.8819,0.5018,3.7637,0.0999816,1.0037
LCS,1/28/2024 20:15,1,sup,Eyla,100 Thieves,Senna,2198,1,4,4,17,5.25,0.913043478,0,0,0,680.6642,0.200262,528.3439,1.556,0.7916,3.5487,0.173513,1.8016
LCS,1/28/2024 21:55,1,sup,Busio,FlyQuest,Renata Glasc,1712,0,2,4,6,2,0.888888889,0,0,1,226.5771,0.121363,570.5607,2.5584,0.6659,4.2407,0.124734,1.1565
LCS,1/28/2024 22:51,1,sup,CoreJJ,Team Liquid,Rakan,2243,1,0,3,9,3,0.642857143,0,0,0,177.004,0.0751812,395.8984,3.0495,1.1502,5.4837,0.098841,1.7922
